Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,25712.3843,25119.66554,25813.57673,26129.83906,27458.22533,27441.52966,28440.05196,30082.12764,31096.20507,22855.93232
Africa Eastern and Southern,1735.584923,1702.9691,1673.221102,1656.167709,1479.61526,1329.807285,1520.212231,1538.901679,1493.817938,1344.10321
Afghanistan,606.6946763,651.4171345,637.0870991,625.0549418,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634
Africa Western and Central,1844.198595,1941.369556,2131.662067,2221.010665,1860.727694,1630.039447,1574.23056,1720.14028,1798.340685,1680.039332
Angola,4615.910598,5086.027401,5057.747878,5005.999741,3213.902611,1807.952941,2437.259712,2538.591391,2189.855714,1449.922867
Albania,4465.709143,4222.347099,4420.23462,4602.230514,3981.726623,4168.375445,4614.047969,5365.488802,5460.430509,5370.7775
Andorra,46657.15612,41500.54358,42470.31612,44369.65969,38654.93472,40129.8192,40672.99433,42819.77458,41257.80458,37361.09007
United Arab Emirates,50789.05054,52034.47625,52023.5171,51381.40699,43534.99727,41326.40182,42340.59172,45689.857,44251.45414,37173.87541
Argentina,12704.28318,12949.71749,12963.67577,12233.14441,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938
Armenia,3349.553098,3511.563997,3680.166922,3852.118006,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933
American Samoa,10383.45933,11745.48992,11813.5022,12026.33449,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866
Antigua and Barbuda,14911.72751,15639.80781,15051.51136,15532.10621,16077.63408,16556.85518,16965.72883,18273.42707,18896.37218,15369.60823
Australia,62605.60046,68072.87323,68190.701,62544.08738,56739.02653,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018
Austria,51116.89535,48250.40591,50305.35458,51314.97226,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989
Azerbaijan,7189.818692,7495.865277,7875.345367,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649
Burundi,230.0705774,231.6884964,234.8430454,250.5404811,280.9668313,235.2862054,236.6944726,224.8993924,210.2364945,210.0081399
Belgium,47760.82988,44874.17092,46964.59468,47995.7787,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758
Benin,1059.413589,1071.525837,1168.926993,1204.399187,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1200.194266
Burkina Faso,725.0247677,731.4701389,759.7620652,764.8616751,630.1247508,663.7423648,709.0915359,777.4656185,764.8530778,825.2370388
Bangladesh,837.3369447,859.6805364,958.2629898,1094.461997,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788
Bulgaria,7849.580613,7431.957895,7795.980921,8069.600057,7268.654455,7822.499233,8696.689304,9872.385078,10372.80443,10769.94757
Bahrain,25032.78677,26438.67332,26989.76011,26451.79656,23734.05511,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446
"Bahamas, The",27090.83768,28552.02427,27642.74198,29137.21756,30719.40542,30616.53632,31875.48817,32642.33532,33640.33699,26178.75376
Bosnia and Herzegovina,4982.693758,4693.788991,5034.56616,5206.065583,4662.258837,4928.566525,5345.019855,6047.845843,6122.375345,6130.311332
Belarus,6527.659343,6953.215917,7998.080205,8341.318093,5967.055951,5039.775609,5785.544919,6360.037502,6837.773396,6542.8558
Belize,5582.221706,5709.689188,5950.202999,6128.142885,6154.495935,6142.498732,6072.582676,6031.281396,6190.047923,5227.193638
Bermuda,99049.01699,100213.4934,101704.4075,100961.5766,104855.3668,108747.3561,112339.4256,113204.8221,115798.0408,106976.5462
Bolivia,2315.521219,2575.598571,2870.02377,3041.435032,2996.012898,3035.873477,3306.303012,3500.726422,3503.896011,3099.942191
Brazil,13396.62436,12521.72135,12458.89121,12274.99397,8936.196617,8836.286527,10080.50928,9300.661649,9029.833267,7074.193783
Barbados,19345.99531,19034.0708,19308.00911,19277.94236,18954.29137,19065.80698,19692.76067,20055.91587,20583.72658,18347.11091
Brunei Darussalam,46382.82745,46968.59711,44003.06443,41026.50839,30625.12873,26663.29732,28024.38246,30988.11905,30426.57303,26834.35925
Bhutan,2787.979676,2751.212886,2679.952172,2849.499986,2954.040819,3152.309051,3435.288047,3400.204172,3576.879871,3191.66907
Botswana,7287.382953,6595.53845,6666.912196,7122.364234,6141.203947,6749.059943,7104.964011,7407.959401,7172.089565,6323.297498
Central African Republic,534.0572815,544.3958491,364.3669626,409.850486,366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713
Canada,52223.85884,52670.34473,52638.11872,50960.84312,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393
Central Europe and the Baltics,13997.44147,13104.10361,13712.73365,14208.45952,12596.94751,12874.74069,14339.85806,16245.19386,16551.84889,16595.93527
Switzerland,90476.75897,85836.20768,87304.33058,88724.99107,83806.4476,82153.07454,82254.37705,85217.36915,84121.93103,85897.78433
Channel Islands,60419.23216,58813.93648,59304.85085,64700.74239,61852.07356,55950.14829,55806.57089,60783.35293,60568.10835,56785.9402
Chile,14487.39278,15241.907,15683.54864,14529.67672,13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547
China,5703.76028,6405.057424,7147.035186,7781.065975,8175.332851,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638
Cote d'Ivoire,1596.628266,1546.946018,1786.15862,1991.365394,1814.718551,1862.595971,1964.299303,2130.866194,2141.768362,2179.729348
Cameroon,1513.96057,1449.098744,1575.928821,1649.443391,1415.000097,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707
