Country Name,Continent,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,North America,74.578,74.841,75.072,75.261,75.405,75.54,75.62,75.88,76.019,75.406
Africa Eastern and Southern,Africa,59.20000403,60.24951236,60.89573975,61.25143602,61.71303052,62.16798132,62.5912751,63.33069136,63.85726128,63.766484
Afghanistan,Asia,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454
Africa Western and Central,Africa,54.96397349,55.29270582,55.55490741,55.69544634,56.03833565,56.39245185,56.62643881,57.03697644,57.14984676,57.3644254
Angola,Africa,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116
Albania,Europe,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824
Andorra,Europe,84.296,84.334,84.406,84.485,84.532,84.489,84.359,84.242,84.098,79.418
United Arab Emirates,Asia,81.898,81.913,81.95,81.99,82.076,82.195,82.388,82.449,82.596,81.936
Argentina,South America,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878
Armenia,Asia,73.81707317,74.1195122,74.62195122,74.87317073,74.87073171,74.86829268,75.21707317,75.6195122,76.22195122,73.37560976
American Samoa,Oceania,72.662,72.709,72.769,72.687,72.654,72.64,72.801,72.794,72.751,72.672
Antigua and Barbuda,North America,77.023,77.1,77.05,76.912,76.892,76.968,77.03,77.132,77.168,77.161
Australia,Oceania,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2
Austria,Europe,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293
Azerbaijan,Asia,70.565,71.08,71.485,71.93,72.349,72.568,72.694,73.016,73.29,70.312
Burundi,Africa,57.804,58.501,59.179,59.764,60.107,60.789,61.345,61.806,62.18,62.569
Belgium,Europe,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.69512195
Benin,Africa,58.462,58.559,58.863,59.008,59.123,59.283,59.528,59.71,59.888,60.154
Burkina Faso,Africa,57.001,57.457,57.903,58.331,58.778,59.173,59.578,59.972,60.184,60.454
Bangladesh,Asia,68.499,68.989,69.487,70.016,70.543,71.075,71.606,72.122,72.625,71.421
Bulgaria,Europe,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.35609756
Bahrain,Asia,79.141,79.622,79.998,80.214,80.338,80.407,80.407,80.412,80.471,78.683
"Bahamas, The",North America,73.571,73.707,73.93,74.029,73.805,74.042,74.031,74.062,71.408,72.994
Bosnia and Herzegovina,Europe,76.963,77.037,77.129,77.089,77.073,77.124,77.385,77.942,77.394,76.04
Belarus,Europe,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,72.13856098
Belize,North America,70.975,71.134,71.276,71.437,71.647,71.843,72.062,72.322,72.577,71.58
Bermuda,North America,79.651,79.847,80.016,80.199,80.338,80.476,80.686,80.986,81.251,81.456
Bolivia,South America,66.282,66.586,66.777,66.97,67.205,67.392,67.536,67.699,67.82,62.906
Brazil,South America,74.047,74.335,74.609,74.823,75.106,75.081,75.383,75.633,75.809,74.506
Barbados,North America,75.599,75.737,75.816,75.926,76.055,76.168,76.237,76.378,76.495,76.647
Brunei Darussalam,Asia,74.835,74.843,74.854,74.862,74.88,74.905,74.943,74.992,75.049,75.114
Bhutan,Asia,69.28,69.759,70.161,70.504,70.797,71.119,71.413,71.711,72.005,72.253
Botswana,Africa,59.715,60.384,61.217,62.167,63.215,64.32,65.42,66.371,67.167,67.643
Central African Republic,Africa,50.107,51.336,49.487,40.265,51.934,50.999,45.231,52.297,31.53,50.596
Canada,North America,81.48268293,81.66365854,81.74487805,81.78439024,81.82585366,81.94,81.81292683,81.80878049,82.16365854,81.53512195
